first,orphan,fastTrack,breakthrough,priority,accelerated,initClinicalStudy,nctDate,therapeuticClass,substanceClass,moleculeType,name,ingredients,dateString,use,disease,modeOfAction,innovation,bla,press,trials,unii,pharmacology,target
1,1,,1,1,1,2014,4/25/2014,Oncology,chemical,small molecule,Vitrakvi,larotrectinib,11/26/2018,To treat patients whose cancers have a specific genetic feature (biomarker),NTRK gene fusion cancers,Tropomysoin receptor kinase inhibitor,"Second cancer treatment approval based on genetic makeup, not tumor location",210861,ucm626710,,PF9462I9HX,Inhibitor,Tropomysoin receptor kinases
,1,,,1,,2009,3/7/2012,Oncology,chemical,small molecule,Daurismo,glasdegib,11/21/2018,To treat newly-diagnosed acute myeloid leukemia (AML) in adult patients,acute myeloid leukemia,smoothened receptor antagonist,,210656,ucm626443,ucm628175,K673DMO5H9,Antagonist,Smoothened receptor
1,1,,1,1,,2013,1/1/2013,Rheumatology,protein,antibody,Gamifant,emapalumab,11/20/2018,To treat primary hemophagocytic lymphohistiocytosis (HLH),hemophagocytic lymphohistiocytosis,interferon-gamma antibody,,761107,ucm626263,ucm627806,3S252O2Z4X,Binding agent,Interferon-gamma
,,1,,1,,2008,,Infectious disease,chemical,small molecule,Aemcolo,rifamycin,11/16/2018,To treat travelers' diarrhea,travelers' diarrhea,bacterial DNA-directed RNA polymerase inhibitor,,210910,ucm626121,ucm626831,DU69T8ZZPA,Inhibitor,Bacterial DNA-directed RNA polymerase
,,,,,,2007,5/1/2011,Respiratory,chemical,small molecule,Yupelri,revefenacin,11/9/2018,To treat patients with chronic obstructive pulmonary disease (COPD),chronic obstructive pulmonary disease,muscarinic acetylcholine receptor antagonist,,210598,,ucm627167,G2AE2VE07O,Antagonist,Muscarinic acetylcholine receptor
,1,,1,1,1,2014,1/8/2014,Oncology,chemical,small molecule,Lorbrena,loratinib,11/2/2018,To treat patients with anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer,non-small cell lung cancer,ALK and ROS1 inhibitor,,210868,ucm625027,,OSP71S83EU,Inhibitor,ALK and ROS1
1,,,,1,,2016,11/1/2016,Infectious disease,chemical,small molecule,Xofluza,baloxavir marboxil,10/24/2018,For the treatment of acute uncomplicated influenza in patients who have been symptomatic for no more than 48 hours.,influenza,polymerase acidic (PA) protein endonuclease activity inhibitor,first new drug for flu in 20 years,210854,ucm624226,,505CXM6OHG,Inhibitor,Polymerase acidic (PA) protein
,,,,1,,2010,3/1/2010,Oncology,chemical,small molecule,Talzenna,talazoparib,10/16/2018,For the treatment of locally advanced or metastatic breast cancer patients with a germline BRCA mutation.,metastatic breast cancer,poly [ADP-ribose] polymerase inhibitor,,211651,ucm623540,ucm624335,9QHX048FRV,Inhibitor,PARP1 and PARP2
,1,1,,1,,2013,12/1/2013,Hematology,protein,enzyme,Revcovi,elapegademase,10/5/2018,To treat Adenosine Deaminase-Severe Combined Immunodeficiency (ADA-SCID),Adenosine Deaminase-Severe Combined Immunodeficiency,exogenous source of ADA enzyme,,761092,,ucm624818,9R3D3Y0UHS,Enzyme,Adenosine deaminase
1,1,1,,1,,2013,3/15/2013,Neurology,oligonucleotide,antisense oligo,Tegsedi,inotersen,10/5/2018,To treat polyneuropathy of hereditary transthyretin-mediated amyloidosis in adults,transthyretin-mediated amyloidosis,TTR mRNA translation inhibitor,,211172,,ucm624617,0IEO0F56LV,Inhibitor,Transthyretin mRNA
,,1,,1,,2009,3/1/2009,Infectious disease,chemical,small molecule,Nuzyra,omadacycline,10/2/2018,To treat community-acquired bacterial pneumonia and acute bacterial skin and skin structure infections,pneumonia and acute skin infections,30S ribosomal subunit inhibitor,,209816,,ucm624630,090IP5RV8F,Inhibitor,30S ribosomal subunit
,,,,,,2014,12/3/2014,Infectious disease,chemical,small molecule,Seysara,sarecycline,10/1/2018,To treat inflammatory lesions of non-nodular moderate to severe acne vulgaris in patients 9 years of age and older,severe acne,ribosomal protein inhibitor,,209521,,ucm623308,94O110CX2E,Inhibitor,Ribosomal protein
,,,1,1,,2017,5/29/2017,Oncology,protein,antibody,Libtayo,cemiplimab,9/28/2018,To treat cutaneous squamous cell carcinoma (CSCC),cutaneous squamous cell carcinoma,PD-1 inhibitor,,761097,ucm622044,ucm623057,6QVL057INT,Inhibitor,Programmed cell death protein 1
,,,,,,2014,7/1/2014,Neurology,protein,antibody,Emgality,galcanezumab,9/27/2018,For the preventive treatment of migraine in adults,migraine,calcitonin-gene-related peptide (CGRP) antagonist,,761063,,,55KHL3P693,Antagonist,Calcitonin-gene-related peptide (CGRP)
,1,,,1,,2005,10/1/2005,Oncology,chemical,small molecule,Vizimpro,dacomitinib,9/27/2018,To treat metastatic non-small-cell lung cancer,non-small-cell lung cancer,"EGFR/HER1, HER2, HER4, DDR1, EPHA6, LCK, DDR2, and MNK1 kinase inhibitor",,211288,ucm621967,ucm623149,5092U85G58,Inhibitor,EGFR
,1,1,,1,1,2011,8/1/2011,Oncology,chemical,small molecule,Copiktra,duvelisib,9/24/2018,"To treat relapsed or refractory chronic lymphocytic leukemia, small lymphocytic lymphoma and follicular lymphoma","chronic lymphocytic leukemia, small lymphocytic lymphoma and follicular lymphoma",PI3K-_ and PI3K-_ inhibitor; inhibitor of B-cell receptor signaling and CXCR12-mediated chemotaxis pathways,,211155,ucm621503,ucm623454,610V23S0JI,Inhibitor,PI3K-_ and PI3K-_
,,,,1,,2017,1/17/2017,Neurology,protein,antibody,Ajovy,fremanezumab,9/14/2018,For the preventive treatment of migraine in adults,migraine,calcitonin-gene-related peptide (CGRP) antagonist,,761089,,ucm623050,PF8K38CG54,Antagonist,Calcitonin-gene-related peptide (CGRP)
1,1,1,,1,,2007,3/7/2007,Oncology,protein,antibody,Lumoxiti,moxetumomab pasudotox,9/13/2018,To treat hairy cell leukemia,hairy cell leukemia,"CD22-directed cytotoxin, CD22 binder",,761104,ucm620448,ucm621522,2NDX4B6N8F,Binding agent,B-cell receptor CD22
,,,,,,2011,10/1/2011,Infectious disease,chemical,small molecule,Pifeltro,doravirine,8/30/2018,To treat HIV-1 infection in adult patients,HIV-1,non-competitive inhibitor of HIV-1 reverse transcriptase,,210806,,ucm620325,913P6LK81M,Inhibitor,HIV-1 reverse transcriptase
,,1,,1,,2011,1/1/2011,Infectious disease,chemical,small molecule,Xerava,eravacycline,8/27/2018,To treat complicated intra-abdominal infections in patients 18 years of age and older,bacterial infections,disrupts bacterial protein synthesis by binding to the 30S ribosomal subunit,,211109,,,07896928ZC,Inhibitor,Protein 30S ribosomal subunit
,1,1,1,1,,2013,8/1/2013,Endocrinology,protein,antibody,Takhzyro,lanadelumab,8/23/2018,To treat types I and II hereditary angioedema,hereditary angioedema,inhibits proteolytic activity of plasma kallikrein to control excess bradykinin generation,,761090,ucm618261,ucm619361,2372V1TKXK,Inhibitor,Plasma kallikrein (KLKB1)
1,1,1,1,1,,2015,2/1/2015,Opthamology,protein,protein,Oxervate,cenegermin,8/22/2018,To treat neurotrophic keratitis,neurotrophic keratitis,nerve growth factor receptor agonist,,761094,ucm618047,ucm618619,B6E7K36KT8,Agonist,TrkA and 75NTR
,1,,,1,,1983,2/1/2012,Neurology,chemical,small molecule,Diacomit,stiripentol,8/20/2018,To treat seizures associated with Dravet syndrome in patients 2 years of age and older taking clobazam,Dravet syndrome,gamma -aminobutyric acid (GABA) A receptor binder (direct); cytochrome P450 activity inhibitor (indirect),,206709,,ucm618455,R02XOT8V8I,Agonist,GABA-A receptor
,,,,,,2003,3/1/2003,Gynecology,chemical,small molecule,Annovera,segesterone acetate,8/10/2018,New vaginal ring used to prevent pregnancy for an entire year,birth control,progesterone receptor agonist,,209627,ucm616541,ucm619311,9AMX4Q13CC,Agonist,Progesterone receptor
1,1,1,,1,1,2006,1/2/2006,Neurology,chemical,small molecule,Galafold,migalastat,8/10/2018,To treat treat adults with Fabry disease.,Fabry disease,alpha-galactosidase A (alpha-Gal A) protein binder and stabilizer,,208623,ucm616598,ucm619686,C4XNY919FW,Stabiliser,Alpha-galactosidase A
1,1,1,1,1,,2012,3/1/2012,Neurology,oligonucleotide,siRNA,Onpattro,patisiran,8/10/2018,To treat the polyneuropathy of hereditary transthyretin-mediated amyloidosis in adult patients,transthyretin-mediated amyloidosis,TTR mRNA binder,first siRNA drug to be approved,210922,ucm616518,ucm619207,50FKX8CB2Y,Suppressor (RNA interference),Transthyretin mRNA
1,1,,1,1,,2007,2/1/2007,Oncology,protein,antibody,Poteligeo,mogamulizumab,8/8/2018,To treat two rare types of non-Hodgkin lymphoma,non-Hodgkin lymphoma,CCR4 binder,,761051,ucm616176,ucm617675,YI437801BE,Antagonist,CXCR4
,,1,,1,,2010,3/1/2010,Hematology,chemical,small molecule,Mulpleta,lusutrombopag,7/31/2018,To treat thrombocytopenia in adult patients with chronic liver disease who are scheduled to undergo a procedure,thrombocytopenia,TPO receptor agonist,,210923,ucm615348,ucm616476,6LL5JFU42F,Agonist,Thrombopoietin receptor
,1,1,,1,,2001,6/1/2001,Hepatology,chemical,lipid,Omegaven,fish oil triglycerides,7/27/2018,As a source of calories and fatty acids in pediatric patients with parenteral nutrition-associated cholestasis,nutrition-associated cholestasis,exogenous source of fatty acids,,210589,,ucm616726,XGF7L72M0F,Agonist,Diacylglycerol O-acyltransferase 2|Free fatty acid receptor 4
1,,,,1,,2006,12/11/2006,Gynecology,chemical,small molecule,Orilissa,elagolix sodium,7/23/2018,For the management of moderate to severe pain associated with endometriosis,pain associated with endometriosis,gonadotropin-releasing hormone receptor (GnRH) antagonist,,210450,,ucm616534,5948VUI423,Antagonist,Gonadotropin-releasing hormone receptor (GnRH)
,1,,1,1,,1997,5/1/1997,Infectious disease,chemical,small molecule,Krintafel,tafenoquine,7/20/2018,For the radical cure (prevention of relapse) of Plasmodium vivax malaria,Plasmodium vivax malaria,produces hydrogen peroxide and hydroxyl radicals which lead to parasite death; inhibits heme polymerase,first single-dose medicine to prevent the relapse of  P. vivax malaria,210795,,ucm615729,262P8GS9L9,Inhibitor,Heme polymerase
1,1,1,,1,,2014,2/28/2014,Oncology,chemical,small molecule,Tibsovo,ivosidenib,7/20/2018,To treat patients with relapsed or refractory acute myeloid leukemia,acute myeloid leukemia,isocitrate dehydrogenase-1 inhibitor,first drug in class - IDH1 inhibitors,211192,ucm614115,ucm615501,Q2PCN8MAM6,Inhibitor,Isocitrate dehydrogenase-1
1,1,1,,1,,2007,2/1/2007,Infectious disease,chemical,small molecule,TPOXX,tecovirimat,7/13/2018,To treat smallpox,smallpox,inhibitor of viral protein p37,Animal Rule approval for smallpox,208627,ucm613496,ucm613649,F925RR824R,Inhibitor,Viral p37
,1,,,,,2011,9/1/2011,Oncology,chemical,small molecule,Braftovi,encorafenib,6/27/2018,To treat unresectable or metastatic melanoma,melanoma,BRAF inhibitor,,210496,ucm611981,ucm613272,8L7891MRB6,Inhibitor,BRAF
,1,,,,,2009,8/1/2009,Oncology,chemical,small molecule,Mektovi,binimetinib,6/27/2018,To treat unresectable or metastatic melanoma,melanoma,MEK 1/2 inhibitor,,210498,ucm611981,ucm613326,181R97MR71,Inhibitor,MEK 1/2
,1,1,,1,,2014,10/1/2014,Neurology,chemical,small molecule,Epidiolex,cannabidiol,6/25/2018,"To treat rare, severe forms of epilepsy",Lennox-Gastaut syndrome or Dravet syndrome,unclear,,210365,ucm611046,ucm613357,19GBJ60SN5,,
,,,,1,,2009,1/1/2009,Infectious disease,chemical,small molecule,Zemdri,plazomicin,6/25/2018,To treat adults with complicated urinary tract infections,urinary tract infection,bacterial ribosome inhibitor,,210303,,,LYO9XZ250J,Inhibitor,Bacterial ribosome
,1,,,1,,2003,?,Infectious disease,chemical,small molecule,Moxidectin,moxidectin,6/13/2018,To treat onchocerciasis due to Onchocerca volvulus in patients aged 12 years and older,onchocerciasis,GABA-A and glutamate channel activator,neglected disease treatment developed largely outside US,210867,,ucm612705,NGU5H31YO9,,
,,,,,,2010,11/1/2010,Rheumatology,chemical,small molecule,Olumiant,baricitinib,5/31/2018,To treat moderately to severely active rheumatoid arthritis,rheumatoid arthritis,janus kinase JAK1 and JAK2 inhibitor,,207924,,ucm611018,ISP4442I3Y,Inhibitor,Janus kinases JAK1 and JAK2
1,1,1,,1,,2008,5/1/2008,Endocrinology,protein,enzyme,Palynziq,pegvaliase,5/24/2018,To treat adults with a rare and serious genetic disease known as phenylketonuria (PKU),phenylketonuria,phenylalanine ammonia-lyase enzyme replacement,,761079,ucm608835,ucm611328,N6UAH27EUV,Enzyme,Phenylalanine ammonia-lyase
,,,,1,,2006,12/1/2006,Hematology,chemical,small molecule,Doptelet,avatrombopag,5/21/2018,To treat low blood platelet count (thrombocytopenia) in adults with chronic liver disease who are scheduled to undergo a medical or dental procedure,thrombocytopenia,thrombopoietin (TPO) receptor agonist,,210238,ucm608320,ucm609444,3H8GSZ4SQL,Agonist,Thrombopoietin (TPO) receptor
,,,,,,2011,7/1/2011,Endocrinology,polymer,polymer,Lokelma,sodium zirconium cyclosilicate,5/18/2018,To treat hyperkalemia,hyperkalemia,oral sorbent that traps potassium ions throughout the gastrointestinal tract,,207078,,ucm609666,D652ZWF066,Chelator,Potassium
1,,,,,,2012,3/1/2012,Neurology,protein,antibody,Aimovig,erenumab,5/17/2018,For the preventive treatment for migraine,migraine,calcitonin gene-related peptide (CGRP) receptor inhibitor,first calcitonin gene-related peptide (CGRP) receptor inhibitor to win approval,761077,ucm608120,ucm610434,I5I8VB78VT,Antibody,Calcitonin gene-related peptide (CGRP) receptor
,,1,,1,,1996,7/1/1996,Endocrinology,chemical,small molecule,Lucemyra,lofexidine hydrochloride,5/16/2018,For the non-opioid treatment for management of opioid withdrawal symptoms in adults,opioid withdrawal symptoms,"Alpha-2A, 2B, and 2C adrenergic receptor agonist",,209229,ucm607884,ucm609838,V47G1SDI1B,Agonist,"_-2A, 2B, and 2C adrenergic receptor"
1,1,,1,1,1,2012,6/1/2012,Hematology,protein,enzyme,Andexxa,andexanet alfa,5/3/2018,"For patients treated with rivaroxaban and apixaban, when reversal of anticoagulation is needed due to life-threatening or uncontrolled bleeding.",reversal of anticoagulation,factor Xa supplementation,,125586,,,BI009E452R,Enzyme,Factor Xa
,,,,,,2011,4/1/2011,Oncology,chemical,small molecule,Akynzeo,fosnetupitant,4/19/2018,To prevent acute and delayed nausea and vomiting associated with initial and repeat courses of highly emetogenic cancer chemotherapy,chemotherapy-induced nausea and vomiting,P/neurokinin-1 (NK-1) receptor antagonist,,210493,,ucm607322,T672P80L2S,Antagonist,P/neurokinin-1 (NK-1) receptor
1,1,1,1,1,,2008,12/1/2008,Endocrinology,protein,antibody,Crysvita,burosumab,4/17/2018,"To treat adults and children ages 1 year and older with x-linked hypophosphatemia (XLH), a rare, inherited form of rickets",X-linked hypophosphatemia,fibroblast growth factor 23 antibody,first drug approved to treat x-linked hypophosphatemia,761068,ucm604810,ucm605956,G9WJT6RD29,Antibody,Fibroblast growth factor 23
1,1,,,,,2007,4/1/2007,Hematology,chemical,small molecule,Tavalisse,fostamatinib,4/17/2018,To treat thrombocytopenia in adult patients with persistent or chronic immune thrombocytopenia (ITP),thrombocytopenia,spleen tyrosine kinase inhibitor,,209299,,ucm605411,SQ8A3S5101,Inhibitor,Spleen tyrosine (SYK) kinase
,,,,,,2010,10/1/2010,Rheumatology,protein,antibody,Ilumya,tildrakizumab,3/20/2018,To treat adults with moderate-to-severe plaque psoriasis who are candidates for systemic therapy or phototherapy,psoriasis,interleukin-23 antibody,,761067,,ucm603480,DEW6X41BEK,Antibody,Interleukin-23
1,1,1,1,1,,2011,2/1/2011,Infectious disease,protein,antibody,Trogarzo,ibalizumab,3/6/2018,To treat HIV patients who have limited treatment options,HIV-1,HIV entry inhibitor,,761065,ucm599657,ucm601383,LT369U66CE,Antibody,Cluster of differentiation 4 (CD4)
,,1,,1,,2010,7/26/2010,Oncology,chemical,small molecule,Erleada,apalutamide,2/14/2018,To treat a certain type of prostate cancer using novel clinical trial endpoint,prostate cancer,androgen receptor neutral antagonist,approval is the first to use the endpoint of metastasis-free survival,210951,ucm596768,ucm597712,4T36H88UA7,Neutral antagonist,Androgen receptor
,1,1,1,1,,2012,2/1/2012,Respiratory,chemical,small molecule,Symdeko,tezacaftor,2/12/2018,To treat cystic fibrosis in patients age 12 years and older,cystic fibrosis,cystic fibrosis transmembrane conductance regulator corrector,,210491,,ucm598699,8RW88Y506K,Corrector,Cystic fibrosis transmembrane conductance regulator
,,,,1,,2014,10/1/2014,Infectious disease,chemical,small molecule,Biktarvy,bictegravir,2/7/2018,To treat infection in adults who have no antiretroviral treatment history or to replace the current antiretroviral regimen,HIV-1,HIV integrase inhibitor,,210251,,ucm597572,8GB79LOJ07,Inhibitor,HIV integrase
1,1,1,,1,,1997,9/1/1997,Oncology,chemical,peptide,Lutathera,lutetium oxodotreotide LU-177,1/26/2018,To treat a type of cancer that affects the pancreas or gastrointestinal tract called gastroenteropancreatic neuroendocrine tumors (GEP-NETs).,gastroenteropancreatic neuroendocrine tumors,serotonin receptor antagonist,first time a radiopharmaceutical has been approved for the treatment of GEP-NETs,208700,ucm594043,ucm597090,AE221IM3BB,Antagonist,Serotonin receptor
1,,,,1,,2011,7/1/1997,Endocrinology,chemical,peptide,Giapreza,angiotensin II,12/21/2017,Increase blood pressure in adults with septic or other distributive shock,septic shock,?,New treatment option for critically ill hypotensive patients,209360,ucm590249,,M089EFU921,Agonist,angiotensin II receptor type 1
1,1,,,,,2007,6/1/2007,Endocrinology,chemical,small molecule,Macrilen,macimorelin,12/20/2017,Diagnosis of patients with adult growth hormone deficiency (AGHD),growth hormone deficiency diagnostic,?,,205598,,,8680B21W73,Agonist,growth hormone secretagogue receptor
1,1,,1,1,,2007,?,Opthamology,gene therapy,virus,Luxturna,voretigene neparvovec,12/19/2017,Adeno-associated virus vector-based gene therapy indicated for the treatment of patients with confirmed biallelic RPE65 mutation-associated retinal dystrophy.,RPE65 retinal dystrophy,?,First rare-disease gene therapy approved,125610,ucm589467,,2SPI046IKD,Gene therapy,RPE65
,,,,,,2009,10/1/2009,Endocrinology,chemical,small molecule,Steglatro,ertugliflozin,12/19/2017,Indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus when treatment with both ertugliflozin and sitagliptin is appropriate.,type 2 diabetes mellitus,?,?,209803,,,6C282481IP,Antagonist,Sodium/glucose cotransporter 2
1,,,,,,2012,3/1/2012,Opthamology,chemical,small molecule,Rhopressa,netarsudil,12/18/2017,Rho kinase inhibitor indicated for the reduction of elevated intraocular pressure in patients with open-angle glaucoma or ocular hypertension.,ocular hypertension,?,?,208254,,,W6I5QDT7QI,Inhibitor,Rho kinase and Norepinephrine transporter
,,,,,,2009,3/1/2012,Infectious disease,chemical,small molecule,Xepi,ozenoxacin,12/11/2017,To treat impetigo,impetigo,?,?,208945,,,V0LH498RFO,Inhibitor,Bacterial DNA gyrase
,,,,,,2008,6/11/2007,Endocrinology,protein,peptide,Ozempic,semaglutide,12/5/2017,To improve glycemic control in adults with type 2 diabetes mellitus,type 2 diabetes mellitus,?,?,209637,,,53AXN4NNHX,Agonist,Glucagon-like peptide-1 receptor
1,1,,1,1,,2012,11/19/2015,Hematology,protein,antibody,Hemlibra,emicizumab,11/16/2017,To prevent or reduce the frequency of bleeding episodes in adult and pediatric patients with hemophilia A who have developed antibodies called Factor VIII (FVIII) inhibitors,hemophilia A,?,First-in-class therapy that works by bridging coagulation factor IX and to factor X,761083,ucm585567,,7NL2E3F6K3,Antagonist,Factor VIII (FVIII) inhibitor antobodies
1,1,1,,1,,2013,10/1/2013,Endocrinology,protein,enzyme,Mepsevii,vestronidase alfa,11/15/2017,To treat pediatric and adult patients with an inherited metabolic condition called mucopolysaccharidosis type VII (MPS VII)- also known as Sly syndrome.,mucopolysaccharidosis type VII,?,First FDA-approved treatment for mucopolysaccharidosis type VII,761047,ucm585308,,7XZ4062R17,Enzyme replacement,Vestronidase alfa
,,,,,,2008,1/1/2008,Respiratory,protein,antibody,Fasenra,benralizumab,11/14/2017,For add-on maintenance treatment of patients with severe asthma aged 12 years and older- and with an eosinophilic phenotype,severe asthma,?,?,761070,,ucm586076,71492GE1FX,Antagonist,Interleukin-5 receptor
1,1,1,1,1,,2010,2/1/2010,Infectious disease,chemical,small molecule,Prevymis,letermovir,11/8/2017,To prevent infection after bone marrow transplant,cytomegalovirus,?,First new medicine for CMV infection approved in 15 years,209939,,ucm587123,1H09Y5WO1F,Inhibitor,Cytomegalovirus
,,,,,,2007,12/1/2010,Opthamology,chemical,small molecule,Vyzulta,latanoprostene bunod,11/2/2017,To treat intraocular pressure in patients with open-angle glaucoma or ocular hypertension.,ocular hypertension,?,?,207795,,ucm585409,I6393O0922,Agonist,Nitrous oxide-donating prostaglandin
,1,,1,1,1,2014,1/1/2014,Oncology,chemical,small molecule,Calquence,acalabrutinib,10/31/2017,To treat adults with mantle cell lymphoma,mantle cell lymphoma,?,2nd generation Bruton's tyrosine kinase inhibitor,210259,ucm583076,ucm585780,I42748ELQW,Inhibitor,Tyrosine-protein kinase BTK
,1,,1,1,,2015,1/22/2015,Oncology,gene therapy,T cell,Yescarta,axicabtagene ciloleucel,10/18/2017,To treat adult patients with certain types of large B-cell lymphoma who have not responded to or who have relapsed after at least two other kinds of treatment,B-cell lymphoma,?,Second gene therapy ever approved,125643,ucm581216,,U2I8T43Y7R,Cytotoxic,anti-CD19 chimeric antigen receptor T-cells
,,1,1,1,,2011,12/7/2009,Oncology,chemical,small molecule,Verzenio,abemaciclib,9/28/2017,To treat certain advanced or metastatic breast cancers,breast cancer,?,?,208716,ucm578071,ucm580765,60UAB198HK,Inhibitor,Cyclin-dependent kinase 4 and 6
,,1,,1,,2008,6/1/2003,Infectious disease,chemical,small molecule,Solosec,secnidazole,9/15/2017,To treat bacterial vaginosis,bacterial vaginosis,?,?,209363,,ucm577042,R3459K699K,Inhibitor,Trichomonas vaginalis
,1,1,,1,1,2009,11/1/2009,Oncology,chemical,small molecule,Aliqopa,copanlisib,9/14/2017,To treat adults with relapsed follicular lymphoma,follicular lymphoma,?,?,209936,ucm576129,ucm577548,WI6V529FZ9,Inhibitor,PI3-kinase
1,1,,1,1,,2010,6/1/2016,Oncology,gene therapy,T cell,Kymriah,tisagenlecleucel,8/30/2017,To treat certain pediatric and young adult patients with a form of acute lymphoblastic leukemia,acute lymphoblastic leukemia,?,First gene therapy ever approved,125646,ucm574058,,Q6C9WHR03O,Cytotoxic,anti-CD19 chimeric antigen receptor T-cells
,1,,,1,1,1992,3/1/1999,Infectious disease,chemical,small molecule,benznidazole,benznidazole,8/29/2017,To treat children ages 2 to 12 years old with Chagas disease,Chagas disease,?,First US approval to treat Chagas Disease,209570,ucm573942,ucm576378,YC42NRJ1ZD,Substrate,Pyruvate:ferredoxin oxidoreductase
,,1,,1,,2012,12/1/2012,Opthamology,chemical,small molecule,Vabomere,vaborbactam,8/29/2017,To treat adults with complicated urinary tract infections,urinary tract infections,?,?,209776,ucm573955,ucm576380,1C75676F8V,Inhibitor,beta-lactamase activity
1,1,,1,1,,2003,8/1/2003,Oncology,protein,antibody,Besponsa,inotuzumab ozogamicin,8/17/2017,To treat adults with relapsed or refractory acute lymphoblastic leukemia,acute lymphoblastic leukemia,?,?,761040,ucm572131,ucm573493,P93RUU11P7,,
,,1,1,1,,2013,11/1/2013,Infectious disease,chemical,small molecule,Mavyret,glecaprevir,8/3/2017,To treat adults with chronic hepatitis C virus,hepatitis C,?,?,209394,ucm570038,ucm571769,K6BUU8J72P,,
,,1,1,1,,2013,11/1/2013,Infectious disease,chemical,small molecule,Mavyret,pibrentasvir,8/3/2017,To treat adults with chronic hepatitis C virus,hepatitis C,?,?,209394,ucm570038,ucm571769,2WU922TK3L,,
1,1,1,,1,,2013,8/27/2013,Oncology,chemical,small molecule,Idhifa,enasidenib,8/1/2017,To treat relapsed or refractory acute myeloid leukemia,acute myeloid leukemia,?,?,209606,ucm569421,ucm571802,3T1SS4E7AG,Inhibitor,"Isocitrate dehydrogenase [NADP], mitochondrial"
,,1,,1,,2014,6/1/2014,Infectious disease,chemical,small molecule,Vosevi,voxilaprevir,7/18/2017,To treat adults with chronic hepatitis C virus,hepatitis C,?,?,209195,ucm567467,ucm569725,0570F37359,,
,,,,,,2009,2/6/2009,Oncology,chemical,small molecule,Nerlynx,neratinib,7/17/2017,To reduce the risk of breast cancer returning,breast cancer,?,?,208051,ucm567309,ucm568138,9RM7XY23ZS,Inhibitor,Epidermal growth factor receptor erbB1 and erbB-2
,,,,1,,2009,8/22/2011,Dermatology,protein,antibody,Tremfya,guselkumab,7/13/2017,For the treatment of adult patients with moderate-to-severe plaque psoriasis,psoriasis,?,?,761061,,ucm568274,089658A12D,,
,,1,,1,,2006,5/1/2006,Hematology,chemical,small molecule,Bevyxxa,betrixaban,6/23/2017,For the prophylaxis of venous thromboembolism (VTE) in adult patients hospitalized for an acute medical illness,venous thromboembolism,?,?,208383,,ucm567362,74RWP7W0J9,Inhibitor,Coagulation factor X
,,1,,1,,2008,6/1/2008,Infectious disease,chemical,small molecule,Baxdela,delafloxacin,6/19/2017,To treat patients with acute bacterial skin infections,bacterial skin infection,?,?,208610,,ucm565472,6315412YVF,Inhibitor,Antibacterial antibiotic
,,,,,,2007,9/1/2008,Rheumatology,protein,antibody,Kevzara,sarilumab,5/22/2017,To treat adult rheumatoid arthritis,rheumatoid arthritis,?,?,761037,,ucm562381,NU90V55F8I,,
1,1,,,,,2005,4/1/2001,Neurology,chemical,small molecule,Radicava,edaravone,5/5/2017,To treat patients with amyotrophic lateral sclerosis (ALS),amyotrophic lateral sclerosis (ALS),?,US approval of Japanese antioxidant therapy for ALS,209176,ucm557102,ucm558438,S798V6YJRP,,
,,,1,1,1,2012,8/29/2012,Oncology,protein,antibody,Imfinzi,durvalumab,5/1/2017,To treat patients with locally advanced or metastatic urothelial carcinoma,urothelial carcinoma,?,?,761069,ucm555930,ucm558005,28X28X9OKV,,
,1,,1,1,1,2011,9/20/2011,Oncology,chemical,small molecule,Alunbrig,brigatinib,4/28/2017,To treat patients with anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer (NSCLC) who have progressed on or are intolerant to crizotinib,non-small cell lung cancer,?,?,208772,,ucm556907,HYW8DB273J,Inhibitor,ALK tyrosine kinase receptor
1,1,1,1,1,,2002,1/30/2002,Oncology,chemical,small molecule,Rydapt,midostaurin,4/28/2017,To treat acute myeloid leukemia,acute myeloid leukemia,?,?,207997,ucm555778,ucm557479,ID912S5VON,Inhibitor,Receptor-type tyrosine-protein kinase FLT3
,,,,,,2007,4/1/2007,Osteology,protein,peptide,Tymlos,abaloparatide,4/28/2017,To treat osteoporosis in postmenopausal women at high risk of fracture or those who have failed other therapies,osteoporosis,?,?,208743,,ucm560331,AVK0I6HY2U,,
1,1,,1,1,,2013,7/24/2013,Neurology,protein,enzyme,Brineura,cerliponase alfa,4/27/2017,To treat a specific form of Batten disease,Batten disease,?,First enzyme replacement therapy for a form of Batten disease,761052,ucm555613,ucm560183,X8R2D92QP1,,
,,1,1,1,,2010,1/1/2011,Neurology,chemical,small molecule,Ingrezza,valbenazine,4/11/2017,To treat adults with tardive dyskinesia,tardive dyskinesia,?,?,209241,ucm537040,ucm556168,54K37P50KH,,
,1,,,,,2013,8/5/2013,Neurology,chemical,small molecule,Austedo,deutetrabenazine,4/3/2017,For the treatment of chorea associated with Huntington's disease,chorea associated with Huntington'ss disease,?,First deuterated drug approval,208082,,ucm553488,P341G6W9NB,,
1,,,1,1,,2010,3/1/2011,Dermatology,protein,antibody,Dupixent,dupilumab,3/28/2017,To treat adults with moderate-to-severe eczema (atopic dermatitis),eczema,?,?,761055,ucm549078,ucm550803,420K487FSG,Inhibitor,interleukin-4 receptor alpha
